cycle_index,start_time_h,end_time_h,duration_h,final_voltage_V,discharge_capacity_Ah,charge_capacity_Ah,loss_of_lithium_inventory_pct,sei_capacity_loss_Ah,plating_capacity_loss_Ah,max_plated_lithium_concentration_mol_m3
1,0.0,1.6372425928720769,1.6372425928720769,3.140423615348139,1.8680458724914435,2.103322219828144,0.010792339167423393,1.977232455303542e-05,0.00023568731648192522,1079.2848223644746
2,1.637242592872077,3.2309763677956016,1.5937337749235245,3.1404271715907797,1.8678634842595983,1.9031432908943884,0.02074204409301217,3.889473139545227e-05,0.0004520790098954886,1042.3515073775425
3,3.230976367795602,4.824554545580094,1.5935781777844917,3.1404305015248104,1.867627453249411,1.9029001852464524,0.03062556951599049,5.7894828071248464e-05,0.0006670265141587525,1042.041161773583
4,4.824554545580095,6.418003492821277,1.593448947241182,3.1403992423257656,1.86744505276932,1.9026621367257994,0.04043367495725647,7.677520842368441e-05,0.0008803085090205006,1041.7348928573158
5,6.418003492821278,8.011291191005814,1.5932876981845352,3.1404353803669656,1.8671648950865498,1.9024791350778478,0.050199045793519304,9.553770330013008e-05,0.0010926968415778228,1041.439127802797
